osm_id,x,y,code,religion,sect,name
1124229524,-100.9816665,25.440499,3102,Church,Catholic,Padre Nuestro
1126794657,-99.136121,19.3299912,3102,Church,Catholic,Parroquia Jesús Crucificado
1162013202,-96.1739611,19.1958107,3102,Church,Catholic,Jesús Pastor
1169107057,-117.0535152,32.5276017,3102,Church,Catholic,Iglesia de la Sagrada Familia
1213450506,-102.3072495,21.8867968,3102,Church,Catholic,Templo el Senor de los Rayos
1213450525,-102.2918584,21.885596,3102,Church,Catholic,Templo de San Antonio
1216053284,-102.2838533,21.8826357,3102,Church,Catholic,Templo de la Purísima Concepción
1224310124,-102.3211896,21.895653,3102,Church,Catholic,Santa Maria Reina
1227952499,-102.2894288,21.8967795,3102,Church,Catholic,Templo San Francisco de Asis
1227952706,-102.2903645,21.8627761,3102,Church,Catholic,Templo La Asuncion
1227952716,-102.2931733,21.8752966,3102,Church,Catholic,Templo del Senor del Encino
1227952744,-102.2932979,21.8833072,3102,Church,Catholic,Templo de San Jose
1240986743,-115.4473713,32.6304369,3102,Church,Catholic,Medalla Milagrosa
1245453138,-90.5835796,19.5005132,3102,Church,Catholic,"Parroquia ""San Francisco De Asis"""
1259593041,-96.164172,19.2050658,3102,Church,Catholic,Nuestra Señora del Consuelo
1301345224,-109.9395133,27.4792471,3102,Church,Catholic,Santísima Trinidad
1305931152,-103.6920318,19.1816701,3102,Church,Catholic,La Ermita
1324396594,-116.6226104,31.8789419,3102,Church,Catholic,Catolic
1335797064,-100.9936931,25.4393364,3102,Church,Catholic,Parroquia Nuestra Señora de Fátima
1404627117,-98.0480344,18.201424,3102,Church,Catholic,San Juan Bautista
1446278037,-99.1477614,19.4630417,3102,Church,Catholic,Sagrado Corazón de Jesús
1459341537,-103.3865749,20.698988,3102,Church,Catholic,Iglesia de la Madre de Dios
1472601101,-102.3119951,21.8775039,3102,Church,Catholic,Templo de Los Dolores
1477974642,-99.991547,21.9312702,3102,Church,Catholic,Santa Catarina de Alejandria
1491017904,-100.5256535,28.7016204,3102,Church,Catholic,Parroquia San Juan
1587293221,-98.4048437,19.2440112,3102,Church,Catholic,Iglesia de la Virgen de la Candelaria
1593480042,-107.7145167,26.9926053,3102,Church,Catholic,Misión del Santo Ángel Custodio de Satevó
1606681050,-98.514947,19.2700546,3102,Church,Catholic,Parroquia de San Salvador
1608893690,-104.6628613,24.003977,3102,Church,Catholic,San Felipe de Jesus
1609073031,-104.6717052,24.0065482,3102,Church,Catholic,Parroquia San Felipe de Jesus
1609104491,-104.6725239,24.0185103,3102,Church,Catholic,Analco
1614515179,-104.6711741,24.0298991,3102,Church,Catholic,Templo de Santa Ana
1617223766,-89.5556798,20.99861,3102,Church,Catholic,Iglesia CatóLica La Purísima Concepción
1655544759,-104.3575231,21.0356331,3102,Church,Catholic,Cristo Rey
1655545096,-104.3653903,21.0379912,3102,Church,Catholic,Santuario
1655562281,-104.37547,21.0343061,3102,Church,Catholic,Sagrado Corazon
1655569313,-99.6020057,19.2830769,3102,Church,Catholic,San José Obrero
1660049944,-104.4418594,21.106611,3102,Church,Catholic,Santuario La Natividad
1667526951,-97.9686276,18.9004618,3102,Church,Catholic,Parroquia de San Santiago Apostol
1667529274,-97.9682469,18.9004315,3102,Church,Catholic,Capilla de San Antonio de Padua
1667637614,-97.954353,18.8906006,3102,Church,Catholic,Parroqia de San Santiago Caballero
1677718127,-89.5765745,21.2566632,3102,Church,Catholic,Capilla
1685314942,-103.3753562,20.6006183,3102,Church,Catholic,Templo del Espíritu Santo
1685314943,-103.3720758,20.6021197,3102,Church,Catholic,Parroquia de Cruz del Apostolado
1685314944,-103.377113,20.6007463,3102,Church,Catholic,Templo del Divino Niño
1685319162,-103.4209597,20.6188906,3102,Church,Catholic,Templo de Nuestra Señora de los Remedios
1686175538,-103.4050797,20.6535792,3102,Church,Catholic,Parroquia San Antonio María Claret
1693964288,-96.8934651,19.5304923,3102,Church,Catholic,Iglesia Pío X
1700532480,-103.2629806,20.6277451,3102,Church,Catholic,Parroquia San Antonio de Padua
1700568870,-96.9127587,19.5296051,3102,Church,Catholic,La Piedad
1705376963,-97.1825157,18.8082897,3102,Church,Catholic,San Rafael Guízar y Valencia
1708175934,-91.829715,18.6314642,3102,Church,Catholic,Iglesia del Guanal
1709182587,-102.2377854,21.8616395,3102,Church,Catholic,Parroquia de San Isidro Labrador
1719424202,-100.4388786,25.664815,3102,Church,Catholic,Parroquia de Guadalupe
1720045725,-99.8712662,18.3646549,3102,Church,Catholic,Cruz de la Vidriera
1738920750,-99.1358462,19.3446744,3102,Church,Catholic,Parroquia de Jesús Sacramentado
1746811444,-89.3422595,20.9969255,3102,Church,Catholic,Iglesia principal de Euán
1775642169,-99.8740324,18.3679652,3102,Church,Catholic,Sta Maria de la Asuncion
1776698984,-99.8693392,18.3711682,3102,Church,Catholic,San Francisco de Asis
1777498570,-99.8729702,18.3588485,3102,Church,Catholic,San Isidro
1828307246,-106.414577,31.6706789,3102,Church,Catholic,Mater Dolorosa
1834303713,-95.2136584,18.4467909,3102,Church,Catholic,Iglesia Santa rosa
1849938297,-97.5261081,20.017784,3102,Church,Catholic,Santuario de Guadalupe
1850756481,-102.0635033,19.4220271,3102,Church,Catholic,Parroquia de San Francisco
1870125051,-97.9218697,19.3156141,3102,Church,Catholic,Basilica de la Virgen de la Caridad
1872993065,-102.2897489,21.8910936,3102,Church,Catholic,La Medallita milagrosa
1874497345,-97.9235886,19.3137912,3102,Church,Catholic,Convento de San Luis Obispo
1878713535,-107.4015082,24.7921294,3102,Church,Catholic,Iglesia Santa Cruz
1880277204,-100.6438218,21.040977,3102,Church,Catholic,Nuestra Sra de Guadalupe
1946761525,-99.2405048,17.4141781,3102,Church,Catholic,Iglesia de Santiago Apostol
1951173577,-100.6666512,18.3625464,3102,Church,Catholic,Catedral de Pungarabato
2042205872,-99.2997346,22.8158951,3102,Church,Catholic,Capilla de la Virgen de Guadalupe
2158159197,-99.6856893,19.2827122,3102,Church,Catholic,Iglesia de San Jose
2172092098,-100.4105415,20.6243265,3102,Church,Catholic,Iglesia de la misericordia
2173968894,-100.3965522,20.6073801,3102,Church,Catholic,Iglesia de Santa Cecilia
2173968895,-100.3967948,20.6037389,3102,Church,Catholic,Iglesia de San Roque
2182119907,-88.2164345,20.6315061,3102,Church,Catholic,Iglesia de Nuestra Señora de la Consolación
2217127164,-100.3651358,20.1982117,3102,Church,Catholic,Santuario de Santiago Apóstol
2217261228,-99.6910465,19.2672497,3102,Church,Catholic,Iglesia San Buenaventura
2247381389,-89.5996166,20.9689383,3102,Church,Catholic,Iglesia de de Nuestra Señora del Carmen
2273862543,-103.461121,21.4650539,3102,Church,Catholic,Parroquia San Juan Bautista
2274984001,-99.5915636,19.1028324,3102,Church,Catholic,Parroquia de la Asunción de María.
2296136012,-108.0191,30.1851623,3102,Church,Catholic,San JOse
2313055870,-100.4420469,20.5424895,3102,Church,Catholic,Santuario del Pueblito
2316543220,-98.2269147,19.0555227,3102,Church,Catholic,"Parroquia Nuestra Señora del Sagrado Corazón ""El Cielo"""
2323802368,-89.6357104,21.0328118,3102,Church,Catholic,Iglesia principal de Xcumpich
2340699148,-87.6886687,21.1901985,3102,Church,Catholic,Iglesia de San Juan
2362157916,-99.4010943,18.7268381,3102,Church,Catholic,Virgen de Guadalupe
2373863841,-100.8135222,20.5203242,3102,Church,Catholic,Templo San Agustin
2373893946,-100.8298676,20.5357547,3102,Church,Catholic,Divina Providencia
2373905458,-100.8070045,20.5210708,3102,Church,Catholic,Templo de la Santa Cruz
2376121472,-100.3934958,20.5906771,3102,Church,Catholic,San Agustín
2376121474,-100.3958508,20.5933386,3102,Church,Catholic,Capuchinas
2378034586,-99.7344548,19.2989016,3102,Church,Catholic,Parroquia de San Luis Mextepec
2418118457,-98.8181888,19.5254991,3102,Church,Catholic,La Purificación
2420887711,-96.4905322,15.6662609,3102,Church,Catholic,Iglesia del Angel
2434716783,-100.6899353,20.5480171,3102,Church,Catholic,Capilla del Rosario
2444917089,-96.9572392,19.4568616,3102,Church,Catholic,Nuestro Señor del Calvario
2463116420,-103.0603434,20.6260245,3102,Church,Catholic,Parroquia de Sta. María de Jesús Sacramentado
2517702304,-100.2277491,18.8812299,3102,Church,Catholic,Iglesia Catolica
2527420920,-100.9891698,25.4254862,3102,Church,Catholic,Parroquia de la Santísima Trinidad
2527449782,-103.4336361,25.5519545,3102,Church,Catholic,Sagrado Corazon de Jesus
2534587402,-100.8027495,20.527849,3102,Church,Catholic,Templo Zapote
2590577454,-103.2872893,20.6284873,3102,Church,Catholic,Santa María Madre y Reina de la Paz
2597262864,-100.2741291,25.7420245,3102,Church,Catholic,Iglesia San Jorge
2606516514,-103.405533,20.742964,3102,Church,Catholic,Iglesia la Divina Providencia
2629251782,-106.394363,31.6477802,3102,Church,Catholic,Capilla San Rafael Arcangel
2629251785,-106.3964704,31.6397748,3102,Church,Catholic,Santo Tomas Apostol
2629251798,-106.3958871,31.6520015,3102,Church,Catholic,Parroquia Doce Apostoles
2640399097,-103.4666988,20.5688991,3102,Church,Catholic,SAN PABLO TARSO
2641210688,-87.4622585,20.2122297,3102,Church,Catholic,La Iglesia de Dios de la Profecia
2657317436,-101.193458,19.7007913,3102,Church,Catholic,Templo de San Augustín
2657348741,-101.6080001,19.5124451,3102,Church,Catholic,El Sagrario
2657348743,-101.6107922,19.5125287,3102,Church,Catholic,San Juan de Dios
2657348744,-101.6211238,19.5144628,3102,Church,Catholic,El Calvario
2667707812,-106.4331249,31.6723239,3102,Church,Catholic,Cristo Sumo y Eterno Sacerdote
2667714509,-106.3943485,31.7329191,3102,Church,Catholic,Todos los Santos
2667761745,-106.420428,23.1925361,3102,Church,Catholic,Parroquia María del Mar
2684711005,-104.9156034,21.5200863,3102,Church,Catholic,Sagrada Familia
2684711007,-104.9038793,21.5296198,3102,Church,Catholic,La Anunciación
2685640760,-104.9018655,21.5227947,3102,Church,Catholic,Iglesia Santa Teresita
2693724640,-90.0513257,20.3712963,3102,Church,Catholic,Parroquia de San Luis Obispo
2700797210,-99.2530556,19.7036892,3102,Church,Catholic,San Mateo Apóstol y Evangelista
2724212714,-99.1945874,19.5133258,3102,Church,Catholic,Parroquia de Nuestra Señora del Rosario de Fátima
2727444936,-99.0176965,19.5042851,3102,Church,Catholic,Iglesia San juan bosco
2733186028,-99.2606408,16.9888788,3102,Church,Catholic,Parroquia de Ntra. Señora María del Rosario
2740857474,-110.900856,27.9183054,3102,Church,Catholic,Iglesia Sagrado Corazon de Jesus
2813329006,-97.8917826,18.8323475,3102,Church,Catholic,Iglesia Santa Ana
2852206508,-104.6756492,24.0127215,3102,Church,Catholic,Templo de Lourdes
2854551704,-107.3935019,24.7895401,3102,Church,Catholic,La Lomita
2877429567,-107.3518444,24.7915316,3102,Church,Catholic,Amistad
2899815479,-101.1311527,20.2136304,3102,Church,Catholic,Ex-convento de San Agustín
2899815480,-101.1241843,20.2150575,3102,Church,Catholic,Templo de la Preciosa Sangre de Cristo
2930259939,-99.2140803,19.6459962,3102,Church,Catholic,Diócesis católica de Cuautitlán Izcalli
2933120356,-106.407226,31.7110834,3102,Church,Catholic,Casa Eudes
2937976911,-99.1852983,19.480425,3102,Church,Catholic,Catedral Santos Felipe y Santiago Azcapotzalco
2938268493,-99.1866295,19.4830088,3102,Church,Catholic,Templo de San Simón y San Judas Tadeo
2938268625,-99.1823804,19.4759945,3102,Church,Catholic,Parroquia Santa Maria Maninalco
2984771627,-104.0547234,20.5511264,3102,Church,Catholic,TEMPLO DEL CARMEN
3012931356,-102.5405716,22.8767188,3102,Church,Catholic,Virgen de la victoria
3033931633,-97.9543985,19.107228,3102,Church,Catholic,Capilla Santo Entierro
3033931634,-97.9511869,19.1038089,3102,Church,Catholic,Parroquia de Santa María de la Asunción
3035292732,-98.1572945,19.0509906,3102,Church,Catholic,Templo de Nuestra Señora de Guadalupe
3054645551,-98.2266154,19.0054142,3102,Church,Catholic,Parroquia de Nuestra Señora del Rosario
3078733150,-106.404715,31.7424829,3102,Church,Catholic,Complejo Pastoral Juan Pablo II
3083455638,-101.2494351,21.0100502,3102,Church,Catholic,Iglesia San Sebastián
3105788956,-102.8481531,21.3697912,3102,Church,Catholic,Templo de San Sebastián
3117694782,-97.7958139,19.9131136,3102,Church,Catholic,Parroquia San Esteban Cuautempan
3149971103,-99.1620657,18.9014723,3102,Church,Catholic,Iglesia La Candelaria
3149973139,-99.161216,18.8980318,3102,Church,Catholic,Capilla La Guadalupita
3163887008,-88.1852371,20.6916041,3102,Church,Catholic,Iglesia Colonia Militar
3164004691,-88.1930096,20.695924,3102,Church,Catholic,Centro Guadalupano
3171366643,-98.8830088,19.5349374,3102,Church,Catholic,Tulantongo
3174138014,-87.6786808,21.5130968,3102,Church,Catholic,Iglesia en El Cuyo
3196557061,-96.7111689,17.1035274,3102,Church,Catholic,San Felipe Apostol
3197340987,-106.3620559,28.3096756,3102,Church,Catholic,Santa Ana
3197355179,-106.368957,28.3434524,3102,Church,Catholic,Santa Isabel de Hungria
3203889458,-106.4988931,31.7414234,3102,Church,Catholic,Nuestra Señora del Carmen
3238915118,-102.6750199,21.877235,3102,Church,Catholic,Misa de Ojo Caliente
3240579270,-102.5705512,22.7860784,3102,Church,Catholic,Templo de Mexicapan
3262141352,-87.4857561,21.101597,3102,Church,Catholic,Iglesia inmaculada de la Virgen de la Concepción
3271338643,-105.175068,27.6921517,3102,Church,Catholic,Santuario de Nuestra Señora de Guadalupe
3281519736,-99.0986869,19.8023178,3102,Church,Catholic,Iglesia del Señor del Barrio de Santiago
3375202381,-98.2016962,19.0550398,3102,Church,Catholic,Convento de las Hermanas Dominicas de la Inmaculada Concepción
3407519272,-106.3598143,31.6710944,3102,Church,Catholic,Capilla Cristo del Camino
3421536766,-99.1785599,19.6159711,3102,Church,Catholic,Iglesia de San Francisco Chilpan
3434942351,-100.936176,22.1875148,3102,Church,Catholic,Parroquia de Nuestra Señora de la Soledad
3487686518,-102.4567986,21.1694774,3102,Church,Catholic,Templo Santo Padre Esqueda
3495605703,-103.4410512,20.7553415,3102,Church,Catholic,Parroquia de San José Jenaro Sanchez
3498333415,-103.2623589,20.6579463,3102,Church,Catholic,Templo nuevo parroquia de Zalatitan
3498337502,-103.2623301,20.6575556,3102,Church,Catholic,Parroquia La inmaculada concepcion
3545922988,-101.6446553,18.6624882,3102,Church,Catholic,San Pedro Apostol
3547505826,-106.3957701,31.664917,3102,Church,Catholic,La Transfiguración del Señor
3591085338,-117.1153884,32.5271571,3102,Church,Catholic,Estrella del Mar
3598525200,-96.7167181,17.0675371,3102,Church,Catholic,Parroquía de San Matías Jalatlaco
3613008012,-99.1651479,19.5082539,3102,Church,Catholic,Iglesia de San Rafael Arcángel
3613027157,-99.1641629,19.5102592,3102,Church,Catholic,Seminario
3643491034,-100.5917205,21.8497748,3102,Church,Catholic,Torrecitas
3652915491,-103.2775691,20.7699174,3102,Church,Catholic,Iglesia de Nuestra Señora de Guadalupe
3655036838,-101.1713609,19.6928973,3102,Church,Catholic,Templo El Corazón de María
3656160141,-104.5860201,20.8097329,3102,Church,Catholic,Templo de Nuestra Señora del Refugio
3668788686,-103.3056293,20.6771291,3102,Church,Catholic,San Ramon Nonato
3678251397,-88.0898272,20.8515467,3102,Church,Catholic,Iglesia de Hunuku
3702197143,-100.0455137,20.7871887,3102,Church,Catholic,Iglesia San Francisco de Asis
3707306909,-98.8994841,19.4970191,3102,Church,Catholic,Seminario Juan Pablo II
3723401707,-87.9490569,20.8042333,3102,Church,Catholic,Iglesia principal de X-Cohuó
3733299942,-88.4202488,20.9172897,3102,Church,Catholic,Iglesia de Xuilub
3746846333,-96.2738907,18.7848713,3102,Church,Catholic,Capilla de la Virgen de Cuyucuenda
3751838837,-101.7282659,19.8357396,3102,Church,Catholic,Iglesia de Ntra. Señora de Guadalupe
3753248011,-99.5886524,19.2744981,3102,Church,Catholic,Parroquia Sagrado Corazón de Jesús
3753610106,-99.0187089,19.5318721,3102,Church,Catholic,Señora de Guadalupe
3767768994,-116.626986,32.5719611,3102,Church,Catholic,Iglesia de Guadalupe
3775290758,-103.8729671,19.5504303,3102,Church,Catholic,santa elena
3800110665,-103.251069,20.66181,3102,Church,Catholic,San Jose Carpintero
3800140078,-103.256015,20.6680021,3102,Church,Catholic,Parroquia Madre Misionera y Reina de los Mexicanos
3800162385,-103.249983,20.6517347,3102,Church,Catholic,Parroquia San Basilio el Grande
3802469666,-109.7826945,30.1255327,3102,Church,Catholic,Iglesia Sagrado Corazón de Jesus
3802632430,-99.1174132,19.4176808,3102,Church,Catholic,Santuario de Nuestra Sra. de Guadalupe y la Sma. Hostia Sangrante
3802709965,-115.0688952,32.3435377,3102,Church,Catholic,Catolic Church
3808828903,-103.263416,20.686329,3102,Church,Catholic,San Gerardo de Mayela
3810788484,-103.2490725,20.6559783,3102,Church,Catholic,Capilla de Guadalupe
3810804034,-103.2514798,20.6443759,3102,Church,Catholic,Parroquia Sagrado Corazón de Jesus
3932525379,-103.252966,20.6398434,3102,Church,Catholic,Parroquia Santa Edith Stain
3945245582,-99.582013,19.2555519,3102,Church,Catholic,"Capilla ""Rancho la Virgen"""
3962079233,-89.6555031,20.997873,3102,Church,Catholic,La Ascensión del Señor
3977351147,-99.2715951,19.3285555,3102,Church,Catholic,San Bartolo
3996213963,-99.2474079,19.5150027,3102,Church,Catholic,Antigua Parroquia de Santa Cruz del Monte
3996213964,-99.2477379,19.5152264,3102,Church,Catholic,Iglesia de Santa Cruz del Monte
3999997171,-99.996333,19.4382584,3102,Church,Catholic,Iglesia Católica la Merced
3999997174,-99.9960461,19.4373864,3102,Church,Catholic,Templo Cristiano
4010050051,-103.2613095,20.6441249,3102,Church,Catholic,Parroquia El Rosario
4010064140,-103.2444299,20.5954339,3102,Church,Catholic,Parroquia Jesus de Nazareth
4010084746,-103.2756594,20.628852,3102,Church,Catholic,Parroquia Nuestra Señora de Guadalupe
4010106006,-103.2650562,20.6931916,3102,Church,Catholic,Parroquia Reina de los Mártires
4010440663,-103.2541479,20.6313808,3102,Church,Catholic,Parroquia San Francisco de Asís
4010523031,-103.2436235,20.6753506,3102,Church,Catholic,Parroquia San Gaspar
4010525118,-103.2782124,20.6386787,3102,Church,Catholic,Parroquia San Juan de Capistrano
4010621001,-99.245436,19.3024179,3102,Church,Catholic,Parroquia Magdalena Atlitic
4011220195,-99.7187824,19.4904318,3102,Church,Catholic,Monte los olivos
4011479948,-103.2367546,20.6293245,3102,Church,Catholic,Parroquia Santa Cecilia
4011495466,-103.2661781,20.62315,3102,Church,Catholic,Parroquia Santa Cruz de las Huertas
4011544879,-103.2834915,20.6328018,3102,Church,Catholic,Parroquia Señor del Encino
4011971539,-103.2445702,20.6135925,3102,Church,Catholic,Parroquia Todos los Santos
4011974192,-103.2560463,20.624037,3102,Church,Catholic,Parroquia Virgen de Guadalupe Modelo de Evangelización
4011978096,-103.2686107,20.6340015,3102,Church,Catholic,Parroquia Virgen de la Soledad
4013785971,-102.2075508,18.0269093,3102,Church,Catholic,Iglesia Cristo Rey
4029192043,-99.8099668,19.2357092,3102,Church,Catholic,Iglesia de San Jose Contadero
4029192727,-99.6294623,19.2380545,3102,Church,Catholic,"Capilla ""La Loma"""
4029199374,-99.6154313,19.3050591,3102,Church,Catholic,María Reina de los Apóstoles
4030231249,-99.7944537,19.3357434,3102,Church,Catholic,Iglesia de Santa María
4033953819,-99.5905261,19.2328954,3102,Church,Catholic,Capilla de la Asuncion
4033953820,-99.5921588,19.2304797,3102,Church,Catholic,Parroquia de San Miguel Arcangel
4050859691,-99.8270954,19.4533046,3102,Church,Catholic,Santa María La Purísima
4055703211,-100.0533945,19.9771638,3102,Church,Catholic,Iglesia de Solís
4076147437,-97.6096381,17.4321775,3102,Church,Catholic,Iglesia de San Pedro Martir
4091245601,-105.2925649,20.4651901,3102,Church,Catholic,Capilla de la Nuestra Senora del Jardin
4145112300,-99.1248226,19.6830829,3102,Church,Catholic,Capilla de San Juan de los Lagos
4168148310,-99.6536619,19.3481114,3102,Church,Catholic,Capilla de la Santa Cruz
4199736869,-94.8405178,17.3768701,3102,Church,Catholic,Iglesia San Marcos
4210212622,-102.2966333,21.8815984,3102,Church,Catholic,Centro del Espiritu Santo
4226115683,-99.6497604,18.6475154,3102,Church,Catholic,Divina Infantita
4249174005,-102.348711,20.7058283,3102,Church,Catholic,Parroquia de San Jose Obrero
4254891995,-89.6790437,20.9498693,3102,Church,Catholic,Capilla San Juan Bautista
4283510518,-99.4462658,19.1874652,3102,Church,Catholic,Capilla del Cristo del Veneno
4293863759,-89.5795505,20.9535528,3102,Church,Catholic,"Iglesia Católica ""Santa María Goretti"""
4307463634,-99.2220916,19.7129083,3102,Church,Catholic,Iglesia de San Francisco Javier
4315204175,-117.0405371,32.5353333,3102,Church,Catholic,Catedral de Ntra. Sra. de Guadalupe en Tijuana
4332405615,-99.1146232,19.3124853,3102,Church,Catholic,Asunción de María
4334443686,-96.8122388,19.098946,3102,Church,Catholic,Iglesia de San Jerónimo y San Isidro
4335221657,-89.6489925,21.0046693,3102,Church,Catholic,Iglesia de Nuestra Señora del Pilar
4348878801,-97.3431273,17.5273466,3102,Church,Catholic,Templo del siglo XV
4354639188,-92.9620408,17.9766816,3102,Church,Catholic,Guadalupe Borja Church
4362091480,-100.1200523,18.9020805,3102,Church,Catholic,Iglesia del Carmen
